Country,Year,HappinessScore,LifeLadder,LogGDP,SocialSupport,HealthyLifeExpectancyAtBirth,FreedomToMakeLifeChoices,Generosity,PerceptionsOfCorruption,PositiveAffect,NegativeAffect,ConfidenceInNationalGovernment
Malawi,2018,3.41,3.33463358879089,7.00593233108521,0.527843475341797,57.5999984741211,0.798915147781372,0.065060876309872,0.765963792800903,0.586300432682037,0.364894032478333,0.572984874248505
Malaysia,2018,5.339,5.33881759643555,10.2355041503906,0.789408564567566,67,0.874548256397247,0.112881354987621,0.894131124019623,0.824454665184021,0.200366735458374,0.732398390769959
Mali,2018,4.39,4.41572952270508,7.62742805480957,0.691859066486359,51.7000007629395,0.737204551696777,-0.03188855573535,0.793091416358948,0.770017266273499,0.369648188352585,0.510795414447784
Malta,2018,6.726,6.90971088409424,,0.931541502475739,72.1999969482422,0.927340686321259,,0.595199882984161,0.721224427223206,0.295698791742325,0.757713675498962
Mauritania,2018,4.49,4.31361532211304,8.19654941558838,0.801595509052277,57,0.466888546943665,-0.095451451838017,0.710529267787933,0.663382470607758,0.275557994842529,0.258394151926041
Mauritius,2018,5.888,5.88174057006836,9.95644760131836,0.908841550350189,66.4000015258789,0.866928100585938,-0.082134947180748,0.785249710083008,0.773951649665833,0.157993257045746,0.619251132011414
Mexico,2018,6.595,6.54957866668701,9.76991939544678,0.858068883419037,68.3000030517578,0.816200494766235,-0.181818425655365,0.808638095855713,0.881713449954987,0.213254362344742,0.294568479061127
Moldova,2018,5.529,5.6822772026062,8.59237670898438,0.892079889774323,65,0.823824346065521,-0.033677354454994,0.928719878196716,0.581714630126953,0.270072460174561,0.237631857395172
Mongolia,2018,5.285,5.46462297439575,9.41570281982422,0.941514134407043,62.2999992370606,0.695546805858612,0.040724154561758,0.848502218723297,0.654125034809113,0.191890299320221,0.270371317863464
Montenegro,2018,5.523,5.6501898765564,9.73295497894287,0.85597962141037,68.5,0.626431286334991,-0.048696760088205,0.768922507762909,0.589933156967163,0.354935258626938,0.39849916100502
Morocco,2018,5.208,4.89679193496704,8.93739795684814,0.553759753704071,65.9000015258789,0.773180425167084,-0.245612621307373,0.84317272901535,0.638049185276032,0.415981560945511,
Mozambique,2018,4.466,4.65371370315552,7.03937768936157,0.738480448722839,54.2000007629395,0.896621584892273,0.053591631352902,0.69122040271759,0.639639556407928,0.397278726100922,0.832037925720215
Myanmar,2018,4.36,4.4106330871582,8.68523216247559,0.773825943470001,59,0.906110823154449,0.469964563846588,0.64672589302063,0.776950597763062,0.300140351057053,0.878752648830414
Namibia,2018,4.639,4.83408784866333,9.15621376037598,0.864214777946472,56.5,0.753904759883881,-0.175729155540466,0.845942497253418,0.739386975765228,0.240249082446098,0.624467790126801
Nepal,2018,4.913,4.9100866317749,7.85100746154785,0.768335521221161,63.5,0.770093679428101,0.132780745625496,0.741752803325653,0.536977708339691,0.386792421340942,0.648398160934448
